id,Intervention Domain,intervention,text,link,Study name,Country,Design,Setting,Delivery mode,Duration,Grouping,Approach Long,approach,outcome
0,Improving mental wellbeing: Belonging & engagement,belonging,Borman 2019 - USA,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,sso&db=eric&AN=ED600814&site=ehost-live&authtype=sso&custid=s4842115",Borman 2019,USA,RCT,Middle,Direct,Moderate,Classroom,Targeted: Academic risk,academicrisk,"rct,middle,direct,moderate,classroom,academicrisk"
1,Improving mental wellbeing: Belonging & engagement,belonging,Flannery 2020 - USA,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,sso&db=eric&AN=ED600541&site=ehost-live&authtype=sso&custid=s4842115",Flannery 2020,USA,RCT,Secondary,Indirect,Short,Classroom,Targeted: Academic risk,academicrisk,"rct,secondary,indirect,short,classroom,academicrisk"
2,Improving mental wellbeing: Belonging & engagement,belonging,Murray 2005 - USA,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,sso&db=eric&AN=EJ697769&site=ehost-live&authtype=sso&custid=s4842115",Murray 2005,USA,QE,Secondary,Indirect,Moderate,One to one,Targeted: Academic risk,academicrisk,"qe,secondary,indirect,moderate,one to one,academicrisk"
3,Improving mental wellbeing: Belonging & engagement,belonging,Seaton 2010 - USA,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,sso&db=eric&AN=ED550190&site=ehost-live&authtype=sso&custid=s4842115",Seaton 2010,USA,QE,Secondary,Indirect,Short,One to one,Targeted: Academic risk,academicrisk,"qe,secondary,indirect,short,one to one,academicrisk"
4,Improving mental wellbeing: Belonging & engagement,belonging,Shoshani 2016 - Israel,https://doi.org/10.1016/j.jsp.2016.05.003,Shoshani 2016,Israel,QE,Middle,Indirect,Moderate,Classroom,Universal,universal,"qe,middle,indirect,moderate,classroom,universal"
5,Improving mental wellbeing: Mentoring,mentoring,Bernstein 2009 - USA,https://eric.ed.gov/?id=ED504310,Bernstein 2009,USA,RCT,Primary,Direct,Moderate,One to one,Targeted: Academic risk,academicrisk,"rct,primary,direct,moderate,one to one,academicrisk"
6,Improving mental wellbeing: Mentoring,mentoring,Clarke 2009 - USA,https://doi.org/doi:10.7282/T3833S8V,Clarke 2009,USA,QE,Secondary,Direct,Moderate,One to one,Targeted: Academic risk,academicrisk,"qe,secondary,direct,moderate,one to one,academicrisk"
7,Improving mental wellbeing: Mentoring,mentoring,Evans 2016 - USA,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,sso&db=psyh&AN=2015-48449-001&site=ehost-live&authtype=sso&custid=s4842115",Evans 2016,USA,RCT,Secondary,Direct,Long,One to one,Targeted: Academic risk,academicrisk,"rct,secondary,direct,long,one to one,academicrisk"
8,Improving mental wellbeing: Mentoring,mentoring,Holt 2008 - USA,https://doi.org/10.1080/07317100802482969,Holt 2008,USA,RCT,Secondary,Direct,Short,One to one,Targeted: Academic risk,academicrisk,"rct,secondary,direct,short,one to one,academicrisk"
9,Improving mental wellbeing: Mentoring,mentoring,Karcher 2008 - USA,https://doi.org/10.1007/s11121-008-0083-z,Karcher 2008,USA,RCT,Combined K-12,Direct,Moderate,One to one,Targeted: Academic risk,academicrisk,"rct,combined k-12,direct,moderate,one to one,academicrisk"
10,Improving mental wellbeing: Mentoring,mentoring,McQuillin 2012 - USA,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,sso&db=eric&AN=ED546608&site=ehost-live&authtype=sso&custid=s4842115",McQuillin 2012,USA,RCT,Middle,Direct,Short,One to one,Targeted: Academic risk,academicrisk,"rct,middle,direct,short,one to one,academicrisk"
11,Improving mental wellbeing: Mentoring,mentoring,Portwood 2005 - USA,https://doi.org/10.1007/s10935-005-1975-3,Portwood 2005,USA,QE,Combined K-12,Direct,Moderate,One to one,Targeted: Academic risk,academicrisk,"qe,combined k-12,direct,moderate,one to one,academicrisk"
12,Improving mental wellbeing: Social-emotional skills,social,Adler 2016 - Bhutan,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,sso&db=psyh&AN=2017-05716-076&site=ehost-live&authtype=sso&custid=s4842115",Adler 2016,Bhutan,RCT,Secondary,Indirect,Long,Classroom,Universal,universal,"rct,secondary,indirect,long,classroom,universal"
13,Improving mental wellbeing: Social-emotional skills,social,Adler 2016 - Mexico,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,sso&db=psyh&AN=2017-05716-076&site=ehost-live&authtype=sso&custid=s4842115",Adler 2016,Mexico,RCT,Secondary,Indirect,Long,Classroom,Universal,universal,"rct,secondary,indirect,long,classroom,universal"
